Model,Sequence_Length,Horizon,RMSE_kW,MAE_kW,MAPE_percent
rnn,24,1,0.4702,0.3308,43.06
lstm,24,1,0.4551,0.318,42.02
stacked,24,1,0.462,0.3175,38.95
rnn,24,24,0.5897,0.4369,62.55
lstm,24,24,0.5772,0.4235,59.09
stacked,24,24,0.5832,0.429,61.43
rnn,24,48,0.5903,0.4355,60.64
lstm,24,48,0.5838,0.4282,59.8
stacked,24,48,0.5835,0.4292,60.43
rnn,72,1,0.4734,0.3346,44.04
lstm,72,1,0.4607,0.3182,39.95
stacked,72,1,0.4576,0.3163,39.17
rnn,72,24,0.5834,0.4403,66.48
lstm,72,24,0.5808,0.422,58.48
stacked,72,24,0.5787,0.424,59.8
rnn,72,48,0.5938,0.4322,57.79
lstm,72,48,0.5946,0.4371,62.59
stacked,72,48,0.5929,0.4406,64.71
rnn,168,1,0.4758,0.3442,47.81
lstm,168,1,0.4542,0.3213,42.99
stacked,168,1,0.4641,0.3202,39.43
rnn,168,24,0.5875,0.4314,60.3
lstm,168,24,0.5743,0.4176,57.63
stacked,168,24,0.5844,0.4241,57.31
rnn,168,48,0.5858,0.4337,61.34
lstm,168,48,0.5801,0.4248,58.48
stacked,168,48,0.5804,0.4249,59.57
